类型,唯一 ID,ID,名称,开始时间,结束时间,生存时间,
"Process",0,8364,"vstest.executionengine.x86.exe",667.62,"3,034.87","2,367.25",
"Thread",0,6716,"未命名的线程",667.72,"3,010.42","2,342.70",
